front,back
Wat is de hoofdstad van Albania?,"Tirana<br><img src=""Albania.png"">"
Wat is de hoofdstad van Austria?,"Vienna<br><img src=""Austria.png"">"
Wat is de hoofdstad van Belarus?,"Minsk<br><img src=""Belarus.png"">"
Wat is de hoofdstad van Belgium?,"Brussels<br><img src=""Belgium.png"">"
Wat is de hoofdstad van Bosnia and Herz.?,"Sarajevo<br><img src=""Bosnia and Herz..png"">"
Wat is de hoofdstad van Bulgaria?,"Sofia<br><img src=""Bulgaria.png"">"
Wat is de hoofdstad van Croatia?,"Zagreb<br><img src=""Croatia.png"">"
Wat is de hoofdstad van Czechia?,"Prague<br><img src=""Czechia.png"">"
Wat is de hoofdstad van Denmark?,"Copenhagen<br><img src=""Denmark.png"">"
Wat is de hoofdstad van Estonia?,"Tallinn<br><img src=""Estonia.png"">"
Wat is de hoofdstad van Finland?,"Helsinki<br><img src=""Finland.png"">"
Wat is de hoofdstad van France?,"Paris<br><img src=""France.png"">"
Wat is de hoofdstad van Germany?,"Berlin<br><img src=""Germany.png"">"
Wat is de hoofdstad van Greece?,"Athens<br><img src=""Greece.png"">"
Wat is de hoofdstad van Hungary?,"Budapest<br><img src=""Hungary.png"">"
Wat is de hoofdstad van Iceland?,"Reykjavik<br><img src=""Iceland.png"">"
Wat is de hoofdstad van Ireland?,"Dublin<br><img src=""Ireland.png"">"
Wat is de hoofdstad van Italy?,"Rome<br><img src=""Italy.png"">"
Wat is de hoofdstad van Kosovo?,"Pristina<br><img src=""Kosovo.png"">"
Wat is de hoofdstad van Latvia?,"Riga<br><img src=""Latvia.png"">"
Wat is de hoofdstad van Lithuania?,"Vilnius<br><img src=""Lithuania.png"">"
Wat is de hoofdstad van Luxembourg?,"Luxembourg<br><img src=""Luxembourg.png"">"
Wat is de hoofdstad van Moldova?,"Chisinau<br><img src=""Moldova.png"">"
Wat is de hoofdstad van Montenegro?,"Podgorica<br><img src=""Montenegro.png"">"
Wat is de hoofdstad van Netherlands?,"Amsterdam<br><img src=""Netherlands.png"">"
Wat is de hoofdstad van North Macedonia?,"Skopje<br><img src=""North Macedonia.png"">"
Wat is de hoofdstad van Norway?,"Oslo<br><img src=""Norway.png"">"
Wat is de hoofdstad van Poland?,"Warsaw<br><img src=""Poland.png"">"
Wat is de hoofdstad van Portugal?,"Lisbon<br><img src=""Portugal.png"">"
Wat is de hoofdstad van Romania?,"Bucharest<br><img src=""Romania.png"">"
Wat is de hoofdstad van Serbia?,"Belgrade<br><img src=""Serbia.png"">"
Wat is de hoofdstad van Slovakia?,"Bratislava<br><img src=""Slovakia.png"">"
Wat is de hoofdstad van Slovenia?,"Ljubljana<br><img src=""Slovenia.png"">"
Wat is de hoofdstad van Spain?,"Madrid<br><img src=""Spain.png"">"
Wat is de hoofdstad van Sweden?,"Stockholm<br><img src=""Sweden.png"">"
Wat is de hoofdstad van Switzerland?,"Bern<br><img src=""Switzerland.png"">"
Wat is de hoofdstad van Ukraine?,"Kyiv<br><img src=""Ukraine.png"">"
Wat is de hoofdstad van United Kingdom?,"London<br><img src=""United Kingdom.png"">"
