front,back
Wat is de hoofdstad van Albania?,"Tirana<br><img src=""Albania.png"">"
Wat is de hoofdstad van Austria?,"Viena<br><img src=""Austria.png"">"
Wat is de hoofdstad van Bielorrusia?,"Minsk<br><img src=""Belarus.png"">"
Wat is de hoofdstad van Bélgica?,"Bruselas<br><img src=""Belgium.png"">"
Wat is de hoofdstad van Bosnia y Herz.?,"Sarajevo<br><img src=""Bosnia and Herz..png"">"
Wat is de hoofdstad van Bulgaria?,"Sofía<br><img src=""Bulgaria.png"">"
Wat is de hoofdstad van Croacia?,"zagreb<br><img src=""Croatia.png"">"
Wat is de hoofdstad van Chequia?,"Praga<br><img src=""Czechia.png"">"
Wat is de hoofdstad van Dinamarca?,"Copenhague<br><img src=""Denmark.png"">"
Wat is de hoofdstad van Estonia?,"Tallin<br><img src=""Estonia.png"">"
Wat is de hoofdstad van Finlandia?,"helsinki<br><img src=""Finland.png"">"
Wat is de hoofdstad van Francia?,"París<br><img src=""France.png"">"
Wat is de hoofdstad van Alemania?,"Berlina<br><img src=""Germany.png"">"
Wat is de hoofdstad van Grecia?,"Atenas<br><img src=""Greece.png"">"
Wat is de hoofdstad van Hungría?,"budapest<br><img src=""Hungary.png"">"
Wat is de hoofdstad van Islandia?,"Reikiavik<br><img src=""Iceland.png"">"
Wat is de hoofdstad van Irlanda?,"Dublín<br><img src=""Ireland.png"">"
Wat is de hoofdstad van Italia?,"Roma<br><img src=""Italy.png"">"
Wat is de hoofdstad van Kosovo?,"Prístina<br><img src=""Kosovo.png"">"
Wat is de hoofdstad van Letonia?,"riga<br><img src=""Latvia.png"">"
Wat is de hoofdstad van Lituania?,"Vilna<br><img src=""Lithuania.png"">"
Wat is de hoofdstad van Luxemburgo?,"Luxemburgo<br><img src=""Luxembourg.png"">"
Wat is de hoofdstad van Moldavia?,"Chisináu<br><img src=""Moldova.png"">"
Wat is de hoofdstad van Montenegro?,"Podgorica<br><img src=""Montenegro.png"">"
Wat is de hoofdstad van Países Bajos?,"Ámsterdam<br><img src=""Netherlands.png"">"
Wat is de hoofdstad van Macedonia del Norte?,"Skopie<br><img src=""North Macedonia.png"">"
Wat is de hoofdstad van Noruega?,"Oslo<br><img src=""Norway.png"">"
Wat is de hoofdstad van Polonia?,"Varsovia<br><img src=""Poland.png"">"
Wat is de hoofdstad van Portugal?,"Lisboa<br><img src=""Portugal.png"">"
Wat is de hoofdstad van Rumania?,"Bucarest<br><img src=""Romania.png"">"
Wat is de hoofdstad van Serbia?,"Belgrado<br><img src=""Serbia.png"">"
Wat is de hoofdstad van Eslovaquia?,"Bratislava<br><img src=""Slovakia.png"">"
Wat is de hoofdstad van Eslovenia?,"Liubliana<br><img src=""Slovenia.png"">"
Wat is de hoofdstad van España?,"Madrid<br><img src=""Spain.png"">"
Wat is de hoofdstad van Suecia?,"Estocolmo<br><img src=""Sweden.png"">"
Wat is de hoofdstad van Suiza?,"Berna<br><img src=""Switzerland.png"">"
Wat is de hoofdstad van Ucrania?,"Kyiv<br><img src=""Ukraine.png"">"
Wat is de hoofdstad van Reino Unido?,"Londres<br><img src=""United Kingdom.png"">"
