front,back
Wat is de hoofdstad van Albanie?,"Tirana<br><img src=""Albania.png"">"
Wat is de hoofdstad van Autriche?,"Vienne<br><img src=""Austria.png"">"
Wat is de hoofdstad van Biélorussie?,"Minsk<br><img src=""Belarus.png"">"
Wat is de hoofdstad van Belgique?,"Bruxelles<br><img src=""Belgium.png"">"
Wat is de hoofdstad van Bosnie-Herz.?,"Sarajevo<br><img src=""Bosnia and Herz..png"">"
Wat is de hoofdstad van Bulgarie?,"Sofia<br><img src=""Bulgaria.png"">"
Wat is de hoofdstad van Croatie?,"Zagreb<br><img src=""Croatia.png"">"
Wat is de hoofdstad van Tchéquie?,"Prague<br><img src=""Czechia.png"">"
Wat is de hoofdstad van Danemark?,"Copenhague<br><img src=""Denmark.png"">"
Wat is de hoofdstad van Estonie?,"Tallinn<br><img src=""Estonia.png"">"
Wat is de hoofdstad van Finlande?,"Helsinki<br><img src=""Finland.png"">"
Wat is de hoofdstad van France?,"Paris<br><img src=""France.png"">"
Wat is de hoofdstad van Allemagne?,"Berlin<br><img src=""Germany.png"">"
Wat is de hoofdstad van Grèce?,"Athènes<br><img src=""Greece.png"">"
Wat is de hoofdstad van Hongrie?,"Budapest<br><img src=""Hungary.png"">"
Wat is de hoofdstad van Islande?,"Reykjavík<br><img src=""Iceland.png"">"
Wat is de hoofdstad van Irlande?,"Dublin<br><img src=""Ireland.png"">"
Wat is de hoofdstad van Italie?,"Rome<br><img src=""Italy.png"">"
Wat is de hoofdstad van Kosovo?,"Pristina<br><img src=""Kosovo.png"">"
Wat is de hoofdstad van Lettonie?,"Riga<br><img src=""Latvia.png"">"
Wat is de hoofdstad van Lituanie?,"Vilnius<br><img src=""Lithuania.png"">"
Wat is de hoofdstad van Luxembourg?,"Luxembourg<br><img src=""Luxembourg.png"">"
Wat is de hoofdstad van Moldavie?,"Chişinău<br><img src=""Moldova.png"">"
Wat is de hoofdstad van Monténégro?,"Podgorica<br><img src=""Montenegro.png"">"
Wat is de hoofdstad van Pays-Bas?,"Amsterdam<br><img src=""Netherlands.png"">"
Wat is de hoofdstad van Macédoine du Nord?,"Skopje<br><img src=""North Macedonia.png"">"
Wat is de hoofdstad van Norvège?,"Oslo<br><img src=""Norway.png"">"
Wat is de hoofdstad van Pologne?,"Varsovie<br><img src=""Poland.png"">"
Wat is de hoofdstad van Portugal?,"Lisbonne<br><img src=""Portugal.png"">"
Wat is de hoofdstad van Roumanie?,"Bucarest<br><img src=""Romania.png"">"
Wat is de hoofdstad van Serbie?,"Belgrade<br><img src=""Serbia.png"">"
Wat is de hoofdstad van Slovaquie?,"Bratislava<br><img src=""Slovakia.png"">"
Wat is de hoofdstad van Slovénie?,"Ljubljana<br><img src=""Slovenia.png"">"
Wat is de hoofdstad van Espagne?,"Madrid<br><img src=""Spain.png"">"
Wat is de hoofdstad van Suède?,"Stockholm<br><img src=""Sweden.png"">"
Wat is de hoofdstad van Suisse?,"Berne<br><img src=""Switzerland.png"">"
Wat is de hoofdstad van Ukraine?,"Kyiv<br><img src=""Ukraine.png"">"
Wat is de hoofdstad van Royaume-Uni?,"Londres<br><img src=""United Kingdom.png"">"
