front,back
Wat is de hoofdstad van Albanië?,"Tirana<br><img src=""Albania.png"">"
Wat is de hoofdstad van Oostenrijk?,"Wenen<br><img src=""Austria.png"">"
Wat is de hoofdstad van Wit-Rusland?,"Minsk<br><img src=""Belarus.png"">"
Wat is de hoofdstad van België?,"Brussel<br><img src=""Belgium.png"">"
Wat is de hoofdstad van Bosnië en Herz.?,"Sarajevo<br><img src=""Bosnia and Herz..png"">"
Wat is de hoofdstad van Bulgarije?,"Sofia<br><img src=""Bulgaria.png"">"
Wat is de hoofdstad van Kroatië?,"Zagreb<br><img src=""Croatia.png"">"
Wat is de hoofdstad van Tsjechië?,"Praag<br><img src=""Czechia.png"">"
Wat is de hoofdstad van Denemarken?,"Kopenhagen<br><img src=""Denmark.png"">"
Wat is de hoofdstad van Estland?,"Tallinn<br><img src=""Estonia.png"">"
Wat is de hoofdstad van Finland?,"Helsinki<br><img src=""Finland.png"">"
Wat is de hoofdstad van Frankrijk?,"Parijs<br><img src=""France.png"">"
Wat is de hoofdstad van Duitsland?,"Berlijn<br><img src=""Germany.png"">"
Wat is de hoofdstad van Griekenland?,"Athene<br><img src=""Greece.png"">"
Wat is de hoofdstad van Hongarije?,"Boedapest<br><img src=""Hungary.png"">"
Wat is de hoofdstad van IJsland?,"Reykjavik<br><img src=""Iceland.png"">"
Wat is de hoofdstad van Ierland?,"Dublin<br><img src=""Ireland.png"">"
Wat is de hoofdstad van Italië?,"Rome<br><img src=""Italy.png"">"
Wat is de hoofdstad van Kosovo?,"Pristina<br><img src=""Kosovo.png"">"
Wat is de hoofdstad van Letland?,"Riga<br><img src=""Latvia.png"">"
Wat is de hoofdstad van Litouwen?,"Vilnius<br><img src=""Lithuania.png"">"
Wat is de hoofdstad van Luxemburg?,"Luxemburg<br><img src=""Luxembourg.png"">"
Wat is de hoofdstad van Moldavië?,"Chisinau<br><img src=""Moldova.png"">"
Wat is de hoofdstad van Montenegro?,"Podgorica<br><img src=""Montenegro.png"">"
Wat is de hoofdstad van Nederland?,"Amsterdam<br><img src=""Netherlands.png"">"
Wat is de hoofdstad van Noord-Macedonië?,"Skopje<br><img src=""North Macedonia.png"">"
Wat is de hoofdstad van Noorwegen?,"Oslo<br><img src=""Norway.png"">"
Wat is de hoofdstad van Polen?,"Warschau<br><img src=""Poland.png"">"
Wat is de hoofdstad van Portugal?,"Lissabon<br><img src=""Portugal.png"">"
Wat is de hoofdstad van Roemenië?,"Boekarest<br><img src=""Romania.png"">"
Wat is de hoofdstad van Servië?,"Belgrado<br><img src=""Serbia.png"">"
Wat is de hoofdstad van Slowakije?,"Bratislava<br><img src=""Slovakia.png"">"
Wat is de hoofdstad van Slovenië?,"Ljubljana<br><img src=""Slovenia.png"">"
Wat is de hoofdstad van Spanje?,"Madrid<br><img src=""Spain.png"">"
Wat is de hoofdstad van Zweden?,"Stockholm<br><img src=""Sweden.png"">"
Wat is de hoofdstad van Zwitserland?,"Bern<br><img src=""Switzerland.png"">"
Wat is de hoofdstad van Oekraïne?,"Kiev<br><img src=""Ukraine.png"">"
Wat is de hoofdstad van Verenigd Koninkrijk?,"Londen<br><img src=""United Kingdom.png"">"
